city,month,temperature_celsius,humidity_percent,device_type,star_rating,usage_hours,energy_consumption_kwh
Satara,9,22.0,83.7,Water Heater (Geyser),3,2.5,6.1776
Satara,9,27.1,75.4,Microwave Oven,4,1.1,1.3897
Satara,1,22.4,44.9,Air Conditioner,3,11.5,24.2003
Satara,7,25.3,87.6,Air Conditioner,4,5.5,11.3786
Satara,7,29.9,69.2,Desktop Computer,3,6.0,1.776
Mumbai,3,40.2,22.9,LED TV,5,6.9,0.4796
Mumbai,1,26.6,57.6,Air Conditioner,5,2.5,4.4105
Mumbai,8,26.8,98.0,Ceiling Fan,5,15.4,1.0348
Satara,8,23.4,93.3,Washing Machine,4,0.7,0.3502
Satara,7,24.3,84.0,Iron,3,0.9,0.9956
Mumbai,4,33.4,69.4,Refrigerator,3,20.6,4.4395
Mumbai,7,21.0,39.5,Ceiling Fan,4,4.3,0.2991
Satara,5,34.2,54.9,Water Heater (Geyser),4,1.2,2.8674
Mumbai,7,30.8,86.1,Desktop Computer,3,9.8,2.9103
Mumbai,4,32.9,53.8,Refrigerator,4,21.8,3.8395
Mumbai,9,40.0,35.8,LED TV,4,19.7,1.6109
Mumbai,12,28.1,57.7,Iron,3,0.4,0.4365
Satara,9,23.7,22.6,Iron,2,20.4,22.0361
Mumbai,7,30.8,87.8,Room Heater,4,2.7,5.9339
Satara,2,17.7,46.6,Water Heater (Geyser),2,2.0,4.825
Satara,11,35.9,74.3,Washing Machine,3,21.7,13.6081
Satara,9,19.1,31.5,Ceiling Fan,3,23.6,1.9142
Mumbai,1,26.0,60.2,Room Heater,2,5.1,11.7233
Satara,9,28.1,79.8,Water Heater (Geyser),4,1.8,4.2978
Satara,2,20.0,49.4,Ceiling Fan,3,9.9,0.8388
Satara,2,27.7,45.1,Air Conditioner,4,4.5,9.3848
Satara,7,25.0,90.6,Microwave Oven,2,1.3,1.9583
Mumbai,5,25.5,54.9,Ceiling Fan,5,13.0,0.7815
Satara,2,20.7,33.7,Air Conditioner,1,3.1,7.5803
Satara,9,23.4,71.1,Air Conditioner,5,6.5,10.8572
Mumbai,12,24.1,69.2,Microwave Oven,2,0.6,0.8758
Mumbai,11,29.1,72.3,LED TV,5,4.5,0.3306
Satara,2,33.7,53.6,LED TV,2,16.2,1.5823
Mumbai,11,29.0,87.9,LED TV,3,3.5,0.3268
Satara,7,34.5,88.5,Air Conditioner,3,4.4,12.4925
Mumbai,3,28.8,57.6,Refrigerator,3,23.3,4.7341
Satara,7,23.3,89.8,Washing Machine,2,1.7,1.1414
Satara,4,28.6,34.3,Ceiling Fan,3,14.4,1.3874
Mumbai,12,25.6,73.8,Ceiling Fan,1,13.5,1.7873
Satara,8,26.3,80.4,Iron,2,0.8,0.9613
Satara,9,26.4,75.9,Desktop Computer,4,2.5,0.624
Mumbai,1,24.4,62.2,Desktop Computer,1,9.8,3.4141
Mumbai,8,25.9,91.8,Water Heater (Geyser),4,1.6,3.6843
Mumbai,7,28.4,87.5,Desktop Computer,5,3.8,0.8575
Mumbai,2,42.1,53.7,Refrigerator,3,12.6,2.938
Satara,6,29.0,80.9,Ceiling Fan,1,13.9,1.9155
Mumbai,12,38.8,42.4,Refrigerator,3,1.7,0.3774
Satara,3,36.4,35.8,LED TV,5,8.0,0.5582
Mumbai,2,39.0,23.7,Washing Machine,2,23.6,15.1952
Satara,7,26.7,87.7,Iron,2,1.2,1.4242
Mumbai,12,25.3,60.5,Microwave Oven,3,0.9,1.1921
Mumbai,3,28.7,68.9,Refrigerator,4,22.1,3.7592
Mumbai,7,30.3,84.5,Washing Machine,5,1.6,0.6899
Satara,5,16.5,35.6,Iron,3,2.3,2.2988
Satara,6,21.0,23.0,Water Heater (Geyser),2,18.7,44.7391
Mumbai,5,32.1,71.8,Washing Machine,2,1.8,1.2224
Mumbai,3,28.5,63.1,Iron,1,0.8,0.9698
Mumbai,10,33.4,76.4,Refrigerator,4,21.0,3.8095
Mumbai,5,29.5,77.8,Desktop Computer,3,4.0,1.2037
Mumbai,6,32.0,80.3,Microwave Oven,1,1.2,1.9824
Mumbai,2,45.6,81.0,Microwave Oven,4,19.1,26.8493
Mumbai,4,25.1,36.7,Washing Machine,2,24.0,14.8395
Mumbai,8,28.5,86.4,Iron,4,1.1,1.1756
Satara,12,19.3,55.0,Desktop Computer,2,7.4,2.1937
Satara,7,25.9,96.6,Ceiling Fan,1,8.3,1.1552
Mumbai,10,31.6,60.5,Washing Machine,2,9.3,6.11
Satara,12,22.8,35.6,LED TV,5,5.5,0.3663
Mumbai,5,33.9,78.6,Desktop Computer,1,9.3,3.5034
Mumbai,8,29.2,78.6,Microwave Oven,4,1.1,1.4255
Satara,12,20.2,44.4,Room Heater,4,4.3,7.7914
Mumbai,7,24.9,92.7,Refrigerator,2,8.8,2.0001
Satara,12,24.0,55.6,Ceiling Fan,2,10.6,1.1675
Mumbai,7,30.9,86.5,Microwave Oven,1,1.3,2.1591
Satara,7,23.1,86.7,Ceiling Fan,3,5.7,0.5412
Satara,10,40.6,90.7,Iron,5,9.2,9.7348
Mumbai,4,34.6,29.6,Refrigerator,5,18.1,2.6465
Satara,2,20.6,45.2,LED TV,1,6.2,0.6259
Mumbai,8,29.8,92.2,Air Conditioner,3,5.1,13.3937
Satara,3,28.9,36.5,Microwave Oven,4,0.6,0.7297
Satara,8,26.3,79.7,LED TV,1,3.1,0.3405
Mumbai,10,27.8,72.2,LED TV,1,5.7,0.6056
Satara,10,28.5,55.3,Room Heater,3,2.7,5.9533
Mumbai,3,27.4,47.6,LED TV,4,4.2,0.3242
Satara,6,28.4,72.4,Air Conditioner,1,4.4,13.3594
Satara,5,29.1,70.0,LED TV,2,12.2,1.2031
Mumbai,12,37.9,90.4,Ceiling Fan,3,8.3,1.0077
Satara,4,31.1,40.5,Air Conditioner,2,4.1,11.3204
Satara,6,27.3,63.3,Room Heater,3,5.5,12.3761
Mumbai,10,31.2,77.4,Water Heater (Geyser),3,2.1,5.6495
Satara,3,22.4,48.3,Ceiling Fan,5,10.6,0.603
Mumbai,10,32.0,78.6,Washing Machine,3,0.8,0.4744
Mumbai,6,32.3,84.1,Ceiling Fan,4,4.1,0.3674
Satara,6,30.3,90.6,Room Heater,2,10.2,25.9554
Satara,5,30.4,59.3,Iron,3,1.3,1.4249
Mumbai,9,30.0,84.4,Microwave Oven,4,0.6,0.7956
Mumbai,6,41.7,61.7,Desktop Computer,1,3.9,1.4894
Satara,10,27.2,77.1,Refrigerator,4,21.5,3.6782
Mumbai,5,30.2,85.7,Room Heater,3,2.3,5.4252
Mumbai,6,30.8,84.6,Water Heater (Geyser),2,2.4,7.1494
Mumbai,4,33.0,67.4,LED TV,5,6.5,0.4807
Mumbai,9,28.5,84.7,LED TV,5,4.4,0.3266
Mumbai,1,16.7,54.9,Ceiling Fan,3,10.3,0.83
Satara,10,26.0,64.4,Refrigerator,1,21.9,5.5126
Mumbai,4,29.3,59.4,Iron,1,19.9,24.5781
Satara,6,28.1,74.5,Ceiling Fan,5,8.5,0.5474
Mumbai,11,38.5,60.3,Iron,4,14.2,15.295
Satara,1,22.3,32.0,Ceiling Fan,1,10.7,1.2393
Satara,6,26.0,68.0,Room Heater,3,5.3,11.7066
Mumbai,5,30.0,78.8,Microwave Oven,5,1.2,1.441
Satara,4,25.7,30.0,Room Heater,1,21.2,50.5749
Satara,2,25.4,39.9,LED TV,5,2.6,0.1762
Mumbai,7,28.1,32.2,Desktop Computer,1,7.2,2.4261
Satara,5,31.1,46.1,Room Heater,1,5.7,14.6418
Mumbai,9,30.4,92.0,Refrigerator,3,21.6,4.6256
Satara,9,24.9,80.4,Air Conditioner,1,4.2,11.9843
Satara,3,33.1,45.0,Refrigerator,4,6.2,1.073
Mumbai,10,29.4,71.1,Ceiling Fan,5,6.0,0.3898
Mumbai,10,36.6,20.1,Room Heater,3,20.9,47.9173
Satara,12,20.7,48.0,Washing Machine,5,0.9,0.3454
Mumbai,4,30.8,62.2,Microwave Oven,5,1.2,1.3679
Mumbai,11,27.3,68.3,Air Conditioner,5,8.8,15.6192
Satara,2,23.8,42.3,Water Heater (Geyser),1,0.9,2.5518
Mumbai,1,44.4,26.1,Water Heater (Geyser),5,13.0,28.962
Satara,11,22.3,54.8,Iron,1,1.0,1.191
Mumbai,5,31.9,77.7,Water Heater (Geyser),1,1.8,5.867
Satara,9,26.3,70.0,Water Heater (Geyser),4,0.8,1.8159
Mumbai,5,35.8,61.3,Microwave Oven,1,1.5,2.493
Mumbai,4,33.7,43.6,Water Heater (Geyser),4,20.3,47.3871
Satara,8,25.0,73.1,Iron,1,0.9,1.101
Mumbai,1,18.4,62.9,Water Heater (Geyser),4,17.8,35.9914
Mumbai,12,29.3,57.6,Washing Machine,4,1.8,0.8896
Mumbai,4,30.6,73.0,Water Heater (Geyser),1,0.8,2.5324
Mumbai,9,31.1,90.1,Water Heater (Geyser),2,0.9,2.6923
Mumbai,3,43.5,49.7,Water Heater (Geyser),4,10.2,26.5474
Satara,12,22.4,36.4,Room Heater,5,5.3,8.9887
Mumbai,11,28.9,83.9,Air Conditioner,1,2.5,7.7394
Satara,9,22.8,73.6,Ceiling Fan,4,10.1,0.7646
Satara,3,10.7,88.5,Microwave Oven,2,8.8,12.1881
Mumbai,12,14.3,48.0,Iron,5,14.5,13.057
Satara,12,19.7,46.5,Air Conditioner,5,2.9,4.2556
Satara,5,33.1,53.0,Microwave Oven,2,0.5,0.7362
Satara,2,20.1,54.7,Refrigerator,2,23.7,4.831
Satara,6,18.3,19.6,Room Heater,2,18.5,38.0825
Mumbai,2,27.0,48.5,Air Conditioner,5,6.7,11.7227
Mumbai,6,30.0,80.5,Ceiling Fan,1,15.5,2.2229
Mumbai,6,30.7,85.1,Ceiling Fan,3,6.2,0.6652
Mumbai,9,30.6,30.9,Washing Machine,4,2.5,1.1966
Mumbai,12,24.9,65.6,Water Heater (Geyser),5,1.3,2.5748
Satara,5,14.0,34.4,Washing Machine,1,15.2,9.6679
Mumbai,11,28.1,59.4,Washing Machine,4,1.7,0.8223
Satara,1,19.9,48.5,Room Heater,3,3.0,6.0903
Satara,10,24.3,85.9,Air Conditioner,2,17.1,43.8596
Mumbai,7,30.5,83.7,Iron,4,0.6,0.6405
Satara,10,28.7,63.7,Microwave Oven,1,1.1,1.7423
Satara,5,36.3,53.0,Ceiling Fan,5,13.7,0.9665
Mumbai,9,29.0,84.2,Room Heater,4,4.2,9.0327
Mumbai,12,25.5,68.1,Ceiling Fan,4,5.3,0.4157
Satara,12,24.3,49.8,Ceiling Fan,1,11.4,1.4086
Satara,8,25.0,83.5,LED TV,3,5.8,0.5252
Mumbai,7,29.1,91.1,Refrigerator,3,21.6,4.5395
Satara,8,25.1,81.3,Microwave Oven,1,0.4,0.6371
Satara,8,26.5,88.4,Iron,2,0.5,0.6037
Mumbai,12,25.2,60.2,Iron,1,0.8,0.9768
Mumbai,12,40.9,71.2,LED TV,1,18.6,2.1161
Satara,2,21.1,52.3,Water Heater (Geyser),5,0.8,1.4381
Satara,2,23.1,64.5,Washing Machine,5,11.1,4.4634
Mumbai,7,25.4,41.8,Refrigerator,4,8.6,1.3664
Mumbai,3,26.8,56.7,Room Heater,1,5.3,13.3229
Mumbai,8,29.4,85.3,Refrigerator,3,21.2,4.4376
Mumbai,12,26.4,67.8,Ceiling Fan,2,9.0,1.0346
Mumbai,7,23.7,64.8,Air Conditioner,3,5.9,13.1549
Satara,2,35.1,89.0,Water Heater (Geyser),3,15.0,42.3127
Satara,4,32.6,48.4,Room Heater,3,3.5,7.9985
Satara,7,42.9,46.0,Washing Machine,3,1.0,0.6119
Satara,8,24.4,81.3,Ceiling Fan,3,13.8,1.3461
Satara,12,23.4,38.7,Iron,1,22.7,26.3703
Satara,3,23.2,44.0,Microwave Oven,4,1.1,1.2808
Satara,5,25.9,47.6,Washing Machine,1,0.6,0.4233
Satara,12,19.4,57.3,Water Heater (Geyser),3,2.6,5.9451
Satara,7,25.2,80.7,Desktop Computer,4,9.7,2.4969
Mumbai,7,30.2,95.8,Washing Machine,1,1.0,0.7789
Satara,10,24.0,62.5,LED TV,2,5.5,0.5242
Satara,4,32.0,30.6,Washing Machine,3,1.7,0.9491
Mumbai,6,32.4,78.2,Air Conditioner,3,4.9,13.1061
Satara,4,26.7,41.4,Washing Machine,1,1.6,1.1073
Mumbai,6,34.5,88.5,Refrigerator,4,21.6,4.1269
Mumbai,6,30.9,76.8,Ceiling Fan,4,7.2,0.6324
Satara,3,25.5,40.0,Refrigerator,3,20.4,3.804
Mumbai,1,21.8,35.0,Iron,2,12.6,13.7829
Satara,1,31.0,65.0,LED TV,4,20.7,1.7236
Satara,3,27.0,34.1,Room Heater,2,13.1,30.0579
Satara,7,24.9,94.4,Air Conditioner,2,8.7,23.2279
Mumbai,1,12.5,74.3,Ceiling Fan,1,14.0,1.4579
Satara,3,24.5,26.3,Washing Machine,1,1.9,1.2693
Satara,10,24.4,67.4,Refrigerator,5,23.4,3.1388
Satara,2,25.7,48.5,Water Heater (Geyser),3,0.8,1.9356
Mumbai,11,30.5,71.7,Water Heater (Geyser),1,1.5,4.7173
Mumbai,1,26.0,60.1,Desktop Computer,2,2.1,0.6612
Mumbai,12,28.1,64.2,Room Heater,1,4.7,12.2385
Satara,9,23.8,77.2,Room Heater,1,1.0,2.5515
Satara,9,25.4,81.7,Ceiling Fan,5,6.2,0.3859
Mumbai,7,30.7,84.2,Iron,2,0.7,0.8508
Satara,7,26.0,93.6,LED TV,5,6.6,0.4753
Mumbai,12,25.2,54.3,LED TV,2,7.4,0.7094
Satara,9,11.4,86.1,LED TV,2,11.5,1.0867
Satara,8,24.1,87.5,Iron,2,0.9,1.0808
Mumbai,9,29.0,81.3,Refrigerator,5,20.9,3.035
Satara,2,24.1,48.5,Washing Machine,4,1.0,0.4665
Mumbai,11,28.4,62.8,Ceiling Fan,5,10.0,0.6404
Mumbai,12,47.7,48.2,Washing Machine,2,22.3,15.7909
Satara,2,21.0,35.4,Ceiling Fan,5,6.2,0.3383
Satara,7,21.6,85.2,Iron,4,1.4,1.4545
Satara,8,21.0,23.8,Water Heater (Geyser),3,19.7,42.5716
Mumbai,4,17.9,76.2,Microwave Oven,2,22.8,32.4494
Satara,11,25.7,42.3,Ceiling Fan,4,10.2,0.7771
Satara,7,12.5,58.3,Refrigerator,1,11.2,2.2953
Mumbai,10,30.1,71.3,Room Heater,4,5.3,11.2947
Satara,8,24.7,91.6,Ceiling Fan,3,12.6,1.2304
Satara,7,24.5,77.5,Air Conditioner,3,9.3,21.3975
Satara,6,35.0,26.7,Air Conditioner,1,2.1,6.8984
Mumbai,1,23.0,65.1,Air Conditioner,3,10.9,23.7086
Satara,9,24.3,72.5,LED TV,1,6.3,0.6701
Satara,11,25.9,35.2,Room Heater,3,2.2,4.6566
Mumbai,8,32.7,84.4,Desktop Computer,4,16.6,4.5197
Mumbai,2,25.8,55.1,Refrigerator,2,20.5,4.512
Mumbai,11,27.5,78.1,LED TV,3,8.0,0.7167
Mumbai,11,29.1,39.2,Desktop Computer,1,12.4,4.2394
Mumbai,3,29.6,68.1,Washing Machine,5,1.2,0.5109
Mumbai,12,28.7,60.3,LED TV,4,5.4,0.4266
Satara,11,23.3,36.6,Iron,1,4.0,4.5906
Mumbai,3,26.9,67.2,Iron,1,0.5,0.623
Satara,3,30.7,47.1,Microwave Oven,3,0.3,0.4105
Mumbai,4,35.9,90.3,Room Heater,4,16.1,37.5431
Mumbai,1,25.2,48.6,Room Heater,2,5.1,11.71
Mumbai,1,27.0,60.0,Ceiling Fan,1,8.7,1.128
Mumbai,7,29.9,90.1,Ceiling Fan,2,8.6,1.0658
Satara,7,27.3,83.8,Water Heater (Geyser),2,1.7,4.8415
Satara,2,20.5,47.6,Microwave Oven,4,0.7,0.8281
Satara,7,25.5,88.2,Air Conditioner,2,5.1,13.9099
Satara,12,30.5,56.7,LED TV,3,17.2,1.537
Satara,12,33.1,19.7,Washing Machine,4,16.0,7.4993
Satara,4,30.4,40.9,Washing Machine,2,0.7,0.4487
Mumbai,6,29.4,90.5,LED TV,2,4.8,0.4916
Mumbai,6,33.6,74.8,LED TV,4,2.7,0.2233
Satara,5,32.1,40.4,LED TV,4,3.7,0.2883
Mumbai,8,29.4,79.9,LED TV,1,5.8,0.6322
Satara,8,23.3,84.6,Iron,1,1.5,1.8637
Mumbai,6,25.2,21.0,Refrigerator,4,13.3,2.0357
Satara,5,22.3,77.4,Refrigerator,5,20.9,2.698
Satara,6,15.4,47.8,Room Heater,5,23.6,37.7986
Mumbai,10,28.9,83.1,Microwave Oven,1,0.5,0.8137
Mumbai,10,30.7,71.4,Iron,1,1.4,1.7415
Satara,4,19.4,59.4,Air Conditioner,2,21.6,47.1762
Mumbai,7,29.4,84.7,Room Heater,5,2.2,4.3928
Mumbai,2,25.0,52.0,Iron,3,0.7,0.7463
Mumbai,10,30.9,72.1,Desktop Computer,2,7.0,2.3266
Satara,7,26.2,94.3,LED TV,3,3.1,0.2899
Satara,5,45.8,58.4,Room Heater,4,1.0,2.334
Mumbai,7,30.2,89.4,Water Heater (Geyser),4,1.4,3.4269
Mumbai,10,31.5,77.9,LED TV,5,7.5,0.5483
Satara,7,10.5,74.5,Microwave Oven,3,8.4,10.6848
Mumbai,12,36.7,36.3,Desktop Computer,2,4.5,1.4488
Mumbai,3,22.3,58.5,Microwave Oven,3,0.5,0.6538
Satara,10,25.7,63.5,Washing Machine,2,0.6,0.3861
Satara,6,30.7,61.0,Microwave Oven,3,18.3,25.2825
Satara,9,25.5,75.6,Desktop Computer,3,2.0,0.5783
Satara,12,21.6,33.6,Microwave Oven,1,1.1,1.5698
Mumbai,1,24.2,65.7,Air Conditioner,2,2.1,5.297
Mumbai,10,35.4,88.0,Water Heater (Geyser),5,16.9,38.3843
Mumbai,5,31.1,74.0,Desktop Computer,4,7.2,1.9058
Mumbai,3,23.9,62.8,Desktop Computer,3,3.9,1.1001
Satara,8,42.9,39.3,LED TV,5,5.7,0.418
Satara,1,26.9,86.6,Refrigerator,1,13.5,3.5544
Satara,8,20.0,80.2,Refrigerator,3,8.3,1.5298
Mumbai,2,29.2,65.8,Washing Machine,2,1.0,0.6582
Mumbai,10,11.9,56.4,Air Conditioner,4,8.7,12.3934
Satara,10,29.7,60.0,LED TV,1,7.9,0.848
Mumbai,12,26.3,70.5,LED TV,4,7.5,0.5959
Mumbai,2,10.0,18.1,Washing Machine,4,23.5,9.4347
Satara,1,24.5,93.9,Iron,3,4.3,4.8829
Mumbai,8,29.2,82.1,Air Conditioner,3,3.6,9.2744
Satara,4,33.2,39.6,Microwave Oven,4,0.6,0.7578
Mumbai,5,31.7,80.9,Ceiling Fan,5,10.3,0.7118
Mumbai,11,28.8,59.4,LED TV,1,6.4,0.682
Mumbai,10,29.7,80.5,Water Heater (Geyser),2,1.3,3.8376
Mumbai,2,17.1,17.6,Desktop Computer,1,18.0,5.671
Mumbai,10,31.4,70.5,Air Conditioner,3,10.0,26.1442
Mumbai,1,26.9,54.6,Iron,5,1.3,1.2218
Satara,8,39.1,53.9,Refrigerator,4,23.5,4.5301
Mumbai,11,27.6,54.4,Room Heater,1,3.1,7.7137
Satara,12,25.4,55.1,Room Heater,4,6.0,11.6644
Satara,2,26.0,37.3,Microwave Oven,3,1.0,1.2836
Mumbai,3,33.9,24.4,Washing Machine,1,15.9,11.2728
Satara,3,10.5,54.0,LED TV,3,10.1,0.826
Mumbai,9,34.6,31.3,Water Heater (Geyser),5,16.8,34.3443
Satara,4,31.0,34.7,LED TV,1,2.1,0.2192
Mumbai,3,31.8,65.1,LED TV,5,2.2,0.159
Satara,12,25.1,57.5,Microwave Oven,3,1.1,1.4684
Mumbai,11,33.8,75.9,Desktop Computer,3,11.6,3.5726
Mumbai,8,28.9,89.1,Microwave Oven,1,0.8,1.3156
Mumbai,9,32.1,82.4,Desktop Computer,2,7.5,2.5406
Satara,7,12.0,41.4,LED TV,4,15.7,1.1289
Satara,11,17.4,65.4,Refrigerator,5,7.2,0.865
Satara,1,18.5,44.0,Desktop Computer,3,4.1,1.0568
Mumbai,1,24.7,68.5,Water Heater (Geyser),4,1.9,4.1908
Mumbai,6,16.2,66.3,Ceiling Fan,3,19.6,1.6142
Satara,6,29.3,71.4,Microwave Oven,2,1.1,1.6746
Mumbai,8,29.2,83.2,LED TV,4,3.8,0.3136
Satara,4,32.3,36.7,Iron,3,0.4,0.4278
Satara,2,22.9,44.6,Iron,1,1.1,1.2726
Mumbai,1,22.8,48.2,Microwave Oven,4,0.6,0.7076
Mumbai,2,23.9,63.3,Room Heater,4,1.5,3.0033
Satara,7,24.7,85.1,Air Conditioner,3,7.4,17.1311
Mumbai,7,31.0,89.7,LED TV,4,3.6,0.3091
Mumbai,1,23.8,59.4,Water Heater (Geyser),4,1.3,2.8608
Satara,5,31.1,57.8,Ceiling Fan,2,11.8,1.4238
Mumbai,9,32.3,71.0,Iron,1,19.9,25.6288
Satara,1,22.7,53.1,Water Heater (Geyser),5,1.4,2.6112
Mumbai,12,26.7,71.9,Microwave Oven,2,0.6,0.8831
Mumbai,3,28.0,63.7,Ceiling Fan,2,8.8,1.0438
Mumbai,8,14.1,36.2,Water Heater (Geyser),5,2.0,3.3118
Satara,11,22.1,52.0,LED TV,4,6.2,0.4858
Satara,9,45.0,17.7,Air Conditioner,5,23.4,52.5786
Satara,8,25.3,80.5,Microwave Oven,1,0.8,1.2671
Mumbai,10,30.6,64.9,Water Heater (Geyser),2,1.5,4.3117
Mumbai,7,29.8,87.7,Desktop Computer,3,7.6,2.2699
Satara,6,28.5,88.6,LED TV,5,3.5,0.2629
Mumbai,1,24.9,70.0,Water Heater (Geyser),2,2.1,5.7468
Mumbai,4,32.8,62.2,Refrigerator,5,20.2,2.9546
Mumbai,10,39.7,30.8,Desktop Computer,3,17.6,5.1717
Satara,8,24.9,80.7,Refrigerator,2,21.7,4.9004
Satara,3,12.6,36.2,LED TV,2,10.2,0.878
Satara,12,23.2,38.2,Refrigerator,2,2.6,0.5405
Mumbai,5,16.3,51.3,Iron,5,6.3,5.7279
Satara,3,21.6,48.5,Desktop Computer,4,2.2,0.5256
Satara,11,25.2,47.3,Washing Machine,3,1.1,0.6021
Mumbai,8,27.4,68.1,Room Heater,5,7.5,13.9317
Satara,6,25.9,70.1,Washing Machine,3,1.0,0.5771
Mumbai,3,42.2,73.6,Microwave Oven,3,14.9,22.114
Satara,7,45.8,30.5,Iron,4,8.9,9.0913
Satara,9,26.2,93.0,Iron,4,1.1,1.1722
Mumbai,1,31.4,43.7,Desktop Computer,2,15.9,5.0001
Mumbai,12,28.0,71.9,Iron,2,1.2,1.4234
Satara,2,22.9,42.9,Water Heater (Geyser),5,0.6,1.0993
Mumbai,4,29.6,62.3,Iron,2,0.5,0.577
Mumbai,2,12.2,23.4,Ceiling Fan,3,14.3,0.9885
Mumbai,4,32.1,70.5,Washing Machine,1,0.5,0.3749
Satara,1,18.7,56.2,Water Heater (Geyser),5,2.3,4.1478
Satara,11,26.6,46.3,Room Heater,2,1.6,3.6438
Mumbai,7,28.0,88.3,Ceiling Fan,3,10.4,1.0713
Mumbai,10,28.3,71.9,Iron,3,0.9,0.9958
Satara,1,22.5,60.5,Water Heater (Geyser),3,1.9,4.5019
Mumbai,12,27.0,69.2,Iron,1,1.2,1.4757
Mumbai,12,27.6,64.1,Iron,5,0.9,0.872
Satara,7,28.8,69.5,Washing Machine,2,16.7,11.088
Mumbai,3,32.3,57.5,LED TV,5,3.3,0.2372
Satara,7,24.6,78.5,Ceiling Fan,4,15.7,1.2343
Satara,1,43.3,20.7,Microwave Oven,2,14.7,21.3526
Mumbai,9,28.5,70.2,Ceiling Fan,3,13.9,1.4158
Mumbai,7,31.2,85.3,LED TV,5,3.1,0.2352
Satara,7,26.6,84.4,Refrigerator,3,23.3,4.7175
Satara,1,21.7,43.8,Room Heater,5,4.4,7.4485
Satara,1,25.9,50.9,Water Heater (Geyser),4,1.3,2.8797
Mumbai,4,14.5,66.9,Air Conditioner,1,13.8,29.9728
Mumbai,12,26.9,69.7,Air Conditioner,2,11.4,29.7806
Satara,9,26.3,75.9,Microwave Oven,5,1.4,1.5626
Satara,2,42.6,17.2,Ceiling Fan,2,4.1,0.549
Mumbai,9,16.4,48.2,Ceiling Fan,2,9.3,0.8604
Satara,6,26.4,83.5,Water Heater (Geyser),2,2.4,6.7022
Satara,12,35.9,35.0,Air Conditioner,3,18.9,49.7928
Satara,12,26.3,63.8,LED TV,5,15.0,1.059
Mumbai,2,24.6,42.8,Water Heater (Geyser),5,10.6,20.0111
Mumbai,2,26.4,64.0,Washing Machine,4,1.6,0.7777
Satara,3,27.6,15.7,Ceiling Fan,5,6.1,0.3536
Satara,1,23.7,49.9,Desktop Computer,3,2.9,0.7896
Satara,1,11.2,57.6,Air Conditioner,2,16.3,28.7048
Satara,8,27.6,86.3,Microwave Oven,5,0.5,0.5946
Mumbai,8,29.8,89.0,Water Heater (Geyser),4,0.7,1.7046
Mumbai,4,22.2,50.0,Washing Machine,5,7.7,3.0358
Satara,10,28.9,56.0,Washing Machine,1,1.7,1.2324
Satara,4,37.1,66.9,Air Conditioner,2,5.6,17.758
Satara,1,15.6,66.5,Water Heater (Geyser),2,13.7,33.0388
Satara,12,21.3,20.2,Washing Machine,1,1.1,0.7163
Mumbai,10,27.4,85.8,Microwave Oven,5,4.9,5.7972
Mumbai,3,32.0,74.0,LED TV,5,6.1,0.4474
Satara,8,25.4,90.0,LED TV,3,5.5,0.5037
Mumbai,12,27.0,68.3,Water Heater (Geyser),1,0.5,1.5038
Satara,11,23.3,58.6,LED TV,5,6.5,0.457
Mumbai,11,29.6,69.4,Desktop Computer,1,9.0,3.2515
Satara,7,44.4,19.2,Water Heater (Geyser),3,17.8,49.3168
Mumbai,4,29.9,64.1,Microwave Oven,4,0.5,0.625
Satara,11,25.2,43.6,Water Heater (Geyser),2,2.9,7.64
Satara,12,24.3,60.4,Ceiling Fan,2,14.9,1.6387
Mumbai,1,26.8,69.6,Air Conditioner,4,10.5,21.7094
Satara,5,35.0,55.2,Air Conditioner,4,4.7,11.1879
Satara,3,22.1,53.8,Ceiling Fan,1,7.6,0.9264
Mumbai,10,31.9,76.3,Iron,2,1.5,1.7652
Satara,2,20.8,56.2,Iron,4,8.2,8.1635
Satara,10,29.3,56.1,LED TV,1,4.5,0.4742
Satara,1,21.8,54.7,Refrigerator,4,20.7,3.1058
Satara,9,21.5,21.7,Washing Machine,4,1.7,0.7648
Satara,3,24.5,48.2,Iron,5,0.3,0.2772
Satara,5,33.5,53.6,Refrigerator,5,21.0,3.159
Satara,6,18.0,52.1,Room Heater,2,19.8,41.5054
Satara,5,27.6,49.0,Microwave Oven,3,1.5,1.9932
Mumbai,8,28.1,85.3,Desktop Computer,5,7.0,1.5625
Satara,2,17.5,48.5,Microwave Oven,2,1.3,1.7422
Satara,6,23.5,67.3,Microwave Oven,1,0.6,0.9342
Mumbai,8,29.4,85.1,Ceiling Fan,2,12.6,1.5593
Satara,11,41.5,51.2,LED TV,4,19.8,1.634
Mumbai,3,27.8,64.1,Iron,4,1.3,1.3368
Mumbai,2,29.8,54.6,Ceiling Fan,1,5.1,0.6989
Satara,11,22.7,50.1,Air Conditioner,1,3.5,9.1749
Satara,2,22.6,41.6,Washing Machine,1,0.9,0.5988
Mumbai,4,28.8,66.9,Air Conditioner,4,11.1,24.0744
Mumbai,12,23.8,63.0,Refrigerator,2,20.0,4.3612
Satara,7,13.4,17.9,Desktop Computer,5,9.9,1.7993
Satara,9,23.3,73.9,Microwave Oven,4,1.3,1.6051
Satara,1,27.3,37.7,Water Heater (Geyser),5,1.8,3.4597
Mumbai,7,30.7,87.8,Iron,5,1.1,1.1173
